kata1,kata2,relasi
tabung,kelongsong,sinonim
senang,sedih,antonim
pukulan,bogem mentah,sinonim
tabung,baskom,sinonim
bagus,bisai,sinonim
menciumi,membaui,sinonim
songong,sopan santun,antonim
sendiri,swa-,sinonim
segitiga,segitiga takberaturan,sinonim
dingin,terik,antonim
wujud,tanwujud,antonim
tragedi,petaka,sinonim
penurut,pembantah,antonim
musuh,kawan,antonim
meraung,berdengung,sinonim
kekayaan,kemiskinan,antonim
rapi,acak-acakan,antonim
memerlukan,minta,sinonim
mematikan,menyalakan,antonim
asas,kode etik,sinonim
kepulauan,gugusan pulau,sinonim
firasat,faal,sinonim
mata-mata,suluh,sinonim
disentri,mejan,sinonim
bertaut,mengatup,sinonim
kredit,swagriya,sinonim
zoologi,ilmu hewan,sinonim
hati-hati,awut-awutan,antonim
terlepas,tertahan,antonim
alasan,bukti,sinonim
baginda,paduka tuan,sinonim
menunduk,tengadah,antonim
kecil,gede,antonim
mendapati,menjumpai,sinonim
mandiri,manja,antonim
bau,basi,sinonim
bumi,planet,sinonim
absolut,nisbi,antonim
asli,fotokopi,antonim
berleha-leha,berlelah-lelah,antonim
menunggu,menanti,sinonim
menangguhkan,mempertangguhkan,sinonim
mengumpulkan,mengakumulasi,sinonim
pingsan,siuman,antonim
bertingkat-tingkat,bertajuk-tajuk,sinonim
merapikan,berantak,antonim
publik,privat,antonim
segar,loyo,antonim
bersatu,berpencaran,antonim
bahagia,sedih,antonim
anglo,tenggarung,sinonim
klasifikasi,penjenisan,sinonim
bencana,petaka,sinonim
membebaskan,memasung,antonim
menonjol,mencolok,sinonim
bercadar,berjubah,sinonim
gondrong,plontos,antonim
terpuruk,gulir,sinonim
bertarung,beranggar lidah,sinonim
datang,berlepas,antonim
memancung,tetak,sinonim
keganasan,durkarsa,sinonim
mendasarkan,mengasaskan,sinonim
malah,terlebih,sinonim
keteduhan,keredaan,sinonim
seru,gempar,sinonim
menurun,menanjak,antonim
paranormal,bomoh,sinonim
segar,busuk,antonim
menutup,menelanjangi,antonim
berselang,muwalat,antonim
hablur,bersinar-sinar,sinonim
memberi,menyita,antonim
bersantai,bekerja keras,antonim
meremehkan,mencapak,sinonim
murah,mahal,antonim
tegar,cengeng,antonim
ordo,genus,sinonim
menyederhanakan,merumitkan,antonim
cerdik,dungu,antonim
ragam,rukun,sinonim
mbak,mbakyu,sinonim
perbuatan,polah,sinonim
lama,durasi,sinonim
bertarung,beradu mulut,sinonim
gila,waras,antonim
beban,muatan,sinonim
pemarah,aseran,sinonim
mau,ogah,antonim
berdinding,berbenteng,sinonim
pro,kontra,antonim
mempercantik,memperjelek,antonim
melonggarkan,menerikkan,antonim
keimanan,religiositas,sinonim
bendahara,perdana menteri,sinonim
melati,puspa bangsa,sinonim
berpilin,berjalin,sinonim
gagak,burung dandang,sinonim
ketinggalan,tunggakan,sinonim
umum,khas,antonim
menelepon,mengebel,sinonim
mendesir,meresik,sinonim
junjungan,induk semang,sinonim
mengusik,merintangi,sinonim
rumpang,ompong,sinonim
lanjutan,sambungan,sinonim
keamanan,ketenteraman,sinonim
kredit,debit,antonim
memasang,mencopot,antonim
amit,pengamitan,sinonim
berhenti,teduh,sinonim
liar,jinak,antonim
kebesaran,kekecilan,antonim
musibah,berkah,antonim
tamasya,bertamasya,sinonim
payah,tabah,antonim
membuang,menampung,antonim
penghinaan,permuliaan,antonim
buas,brutal,sinonim
penghangat,penyejuk,antonim
pertentangan,persepakatan,antonim
menggeliat,mengolet,sinonim
membunuh,memutus,sinonim
cair,pekat,antonim
positif,negatif,antonim
gagap,tersendat-sendat,antonim
terakhir,terawal,antonim
bantuan,servis,sinonim
lemas,lincah,antonim
ilmiah,khayal,antonim
menunaikan,mencicil,antonim
fosil,bangkai,sinonim
membesar,mengecil,antonim
kecantikan,kejelekan,antonim
bertengkar,berdamai,antonim
pandai,bodoh,antonim
pertanyaan,jawaban,antonim
malas,rajin,antonim
menggembirakan,menyayukan,antonim
mencurahkan,memendam,antonim
aksi,reaksi,antonim
kamu,abdi,antonim
bergandengan,bahu-membahu,sinonim
menengah,meminggir,antonim
pembangun,pemusnah,antonim
sekarang,dahulu,antonim
terdepan,terbelakang,antonim
belia,renta,antonim
jujur,kecurangan,antonim
gagap,terbata-bata,antonim
globe,jagat,sinonim
bersisik,berjangat,sinonim
menyangkut,menyatu,sinonim
relaksasi,tensi,antonim
bergantung,mandiri,antonim
colok,menyadau,sinonim
membentangkan,membuntangkan,sinonim
cekal,mengerkau,sinonim
hukuman,vonis,sinonim
berkas,susunan,sinonim
memandang,merenung,sinonim
berhubungan,berangkaian,sinonim
cepat-cepat,lambat-lambat,antonim
edisi,cetakan,sinonim
kesombongan,kerendah-hatian,antonim
profesional,amatir,antonim
kedalaman,kecetekan,antonim
membuncit,mengempis,antonim
kelabang,lipan,sinonim
balai,pendapa,sinonim
budak,juragan,antonim
berseberangan,bersepakat,antonim
etnis,kedaerahan,sinonim
penyusunan,penataan,sinonim
penampungan,penghimpunan,sinonim
samurai,belati,sinonim
terbuka,tertutup,antonim
menjorok,menjuru,sinonim
garansi,runggu,sinonim
masukan,keluaran,antonim
membimbing,emong,sinonim
menyusu,mengenyut,sinonim
becek,berbencah,sinonim
pembebasan,penahanan,antonim
pemulihan,pengembalian,sinonim
arisan,julo,sinonim
kebencian,kecintaan,antonim
banyak,sedikit,antonim
kalem,temperamental,antonim
primer,sekunder,antonim
menebarkan,camur,sinonim
pembubaran,menggalang,antonim
habitat,tempat tinggal,sinonim
menjaga,huni,sinonim
janur,daun kelapa muda,sinonim
cela,safa,antonim
propaganda,dakyah,sinonim
drum,tangsa,sinonim
beli,bayar,sinonim
laba,rugi,antonim
berkedip,berkersip,sinonim
meninggalkan,menandangi,antonim
ceroboh,prigel,antonim
berkelana,melabang,sinonim
nyata,semu,antonim
menyalahkan,membetulkan,antonim
penuh,peres,sinonim
terbukti,kenyataan,sinonim
meringankan,memberatkan,antonim
kejujuran,kemunafikan,antonim
bruto,neto,antonim
kebohongan,keterusterangan,antonim
menenangkan,menyejukkan,sinonim
contoh,sampel,sinonim
campak,baling,sinonim
seri,bedo,sinonim
melihat,bidik,sinonim
pengap,berangin,antonim
ratus,dupa,sinonim
gambaran,paparan,sinonim
dokumen,manuskrip,sinonim
naik,turun,antonim
bantal,dapra,sinonim
petunjuk,firasat,sinonim
meringkaskan,mengikhtisarkan,sinonim
lamban,gesit,antonim
hendak,palar,sinonim
tenggorok,merih,sinonim
rahmat,laknat,antonim
gelap,cerah,antonim
terhambat,terlintang,sinonim
mengadakan,meniadakan,antonim
berantakan,kocar-kacir,sinonim
caci,sanjung,antonim
mudah,pelik,antonim
mengempis,mengembung,antonim
terbebas,tertawan,antonim
beranak,babaran,sinonim
gembira,duka,antonim
menyesali,mengambinghitamkan,sinonim
elastisitas,kekakuan,antonim
gundik,bini gelap,sinonim
kurang,berlebih,antonim
akselerasi,deselerasi,antonim
baca,mendeteksi,sinonim
muncul,tenggelam,antonim
pesta,hajatan,sinonim
berdiam,bergeser,antonim
janda,munib,sinonim
pasukan,ambalan,sinonim
penyeragaman,penganekaragaman,antonim
borok,tukak,sinonim
jelas,samar,antonim
lurus,bercabang,antonim
bertanya,menjawab,antonim
cukup,lengkap,sinonim
mengakhiri,mengawali,antonim
usung,menyundut,sinonim
keributan,keonaran,sinonim
mendamaikan,adu domba,antonim
tunggal,aneka,antonim
meremajakan,memugar,sinonim
sak,syak,sinonim
pergi,balik,antonim
membangun,gusur,antonim
cap,impresi,sinonim
habis,amblas,sinonim
cermin,teladan,sinonim
perdamaian,pertentangan,antonim
pembukaan,penutupan,antonim
paham,doktrin,sinonim
menenteramkan,memperunyam,antonim
atas,berlandaskan,sinonim
sapai,sapai-sapai,sinonim
lurus,bengkok,antonim
pengaruh,terkaman,sinonim
bertempur,berdamai,antonim
gampang,mempersulit,antonim
lambat,laju,antonim
pembekuan,pencairan,antonim
tunai,angsur,antonim
arsitek,kreator,sinonim
filtrasi,penyeleksian,sinonim
bunyi,bahana,sinonim
tergerai,tergerai-gerai,sinonim
keberhasilan,kegagalan,antonim
merebut,telan,sinonim
bersih,rapi,sinonim
mengingatkan,melupakan,antonim
pelanggan,relasi,sinonim
aman,huru-hara,antonim
menukik,hunjam,sinonim
siklus,peredaran,sinonim
meninggalkan,menemui,antonim
menggunting,mencatut,sinonim
menyulut,memadamkan,antonim
berisi,mambung,antonim
berlawanan,bersahabat,antonim
bercabang,berbiak,sinonim
puas,kenyang,sinonim
peron,serambi,sinonim
materi,gatra,sinonim
bengkok,cengkok,sinonim
duka,kusut muka,sinonim
merangkul,mendepak,antonim
serial,lepas,antonim
adikarya,karya agung,sinonim
pemisahan,penyatuan,antonim
kenang-kenangan,reminisensi,sinonim
tegak,tumbang,antonim
keraguan,kredibilitas,antonim
merica,sahang,sinonim
dapar,bufer,sinonim
sangat,sungguh,sinonim
bantah,mendaga,sinonim
mematuhi,balela,antonim
perlawanan,pertentangan,sinonim
sakit,sembuh,antonim
penyembah,pemuja,sinonim
proteksi,penjagaan,sinonim
pelantikan,pencopotan,antonim
pecah,solid,antonim
menurut,bangkang,antonim
pesona,penggering,sinonim
meningkat,menurun,antonim
sedih,gembira,antonim
genap,ganjil,antonim
permintaan,doa,sinonim
kejayaan,kejatuhan,antonim
usulan,proposal,sinonim
grup,perseorangan,antonim
terkejut,kaget,sinonim
memandang,menatap,sinonim
rebutan,rayahan,sinonim
anak,orang tua,antonim
keras,empuk,antonim
haluan,buritan,antonim
garis,demarkasi,sinonim
penyatuan,penceraian,antonim
tegas,kabur,antonim
terputus,tersambung,antonim
persengketaan,konkurensi,sinonim
tante,om,antonim
berbunga-bunga,bersenang hati,sinonim
pemisahan,penggabungan,antonim
usang,bahari,sinonim
tertancap,tercabut,antonim
daya,kuasa,sinonim
malang,apes,sinonim
tempayan,mengempis,antonim
lekuk,kepuk,sinonim
menguntungkan,merugikan,antonim
mendorong,melemahkan,antonim
menggebu,gebu,sinonim
persekutuan,permusuhan,antonim
kedatangan,keberangkatan,antonim
becek,berselut,sinonim
sisi,sebelah,sinonim
datang,pergi,antonim
miskin,mencukupkan,antonim
meningkatkan,menurunkan,antonim
pincang,gempor,sinonim
rapi,morat-marit,antonim
kecil,ingusan,sinonim
aktual,basi,antonim
ikut-ikut,campur tangan,sinonim
armada,barisan,sinonim
gentar,cuak,sinonim
erat,renggang,antonim
patuh,berontak,antonim
baju,gamis,sinonim
penyembah,penyanjung,sinonim
lama,aktual,antonim
gagap,teragak-agak,antonim
mu,mikrometer,sinonim
nikmat,azab,antonim
pensiun,berdinas,antonim
gendut,belendung,sinonim
abstrak,aktual,antonim
menghadiri,kemangkiran,antonim
menyepelekan,membesar-besarkan,antonim
umum,spesifik,antonim
dominion,(daerah) jajahan,sinonim
distributor,pengecer,antonim
ubun-ubun,umbun-umbun,sinonim
mini,maksi,antonim
tertatih-tatih,mungut,sinonim
berani,malu,antonim
mengasah,menumpulkan,antonim
penunjang,penahan,sinonim
memanjang,memendek,antonim
cerdas,pilon,antonim
kering,berair,antonim
waras,edan,antonim
melaksanakan,memperbandingkan,sinonim
bundaran,belokan,sinonim
berlabel,beridentitas,sinonim
menuju,menuntut,sinonim
adopsi,menelantarkan,antonim
gua,gorong-gorong,sinonim
membuka,tutup,antonim
rancu,campur aduk,sinonim
bengkong,dukun calak,sinonim
berlumur,lumur,sinonim
awut-awutan,kacau-balau,sinonim
tamadun,manggak,antonim
ungkapan,petitih,sinonim
simpel,multipel,antonim
menajamkan,menumpulkan,antonim
signifikan,bermakna,sinonim
menunda,menuntaskan,antonim
cadel,pelo,sinonim
bangkrut,muflis,sinonim
kurang,memadai,antonim
gagasan,buah pikiran,sinonim
sama,serba,antonim
berlawanan,berlarasan,antonim
kesukaran,onak,sinonim
mimbar,tribune,sinonim
karabin,terkul,sinonim
keinginan,kehendak,sinonim
memperbanyak,mengurangkan,antonim
mengiakan,membukankan,antonim
menahan,menyerbu,antonim
waras,sinting,antonim
mendengarkan,mengindahkan,sinonim
mudah,rumit,antonim
penatar,petatar,antonim
segar,pucat,antonim
pendengar,penceramah,antonim
peti,gelodok,sinonim
disposisi,katebelece,sinonim
indah,jamil,sinonim
pemisahan,peleburan,antonim
merinding,rinding,sinonim
beranda,mezanin,sinonim
lurus,licik,antonim
menghaluskan,kekasaran,antonim
oyong,ketola,sinonim
menyumpahi,mencaci maki,sinonim
sinonim,antonim,antonim
berkas,gepok,sinonim
jarang,terbatas,sinonim
bertemu,berdempak,sinonim
membatalkan,mengurungkan,sinonim
tegak,mencong,antonim
tumpul,lancip,antonim
penghinaan,pengagungan,antonim
lampung,terkatung-katung,sinonim
kedewaan,indraloka,sinonim
pembuangan,penampungan,antonim
ciri,identitas,sinonim
modern,arkais,antonim
hanyut,berangan-angan,sinonim
menjelek-jelekkan,memburuk-burukkan,sinonim
adik,ari,sinonim
menyembelih,zabah,sinonim
bersih,kotor,antonim
menyerang,menahan,antonim
kelonggaran,keketatan,antonim
disentri,buang air darah,sinonim
dubur,lubang pantat,sinonim
mengamini,mengiakan,sinonim
beringsut,mengingsut,sinonim
padat,repas,antonim
menunduk,mendongak,antonim
terakhir,terbaru,sinonim
rata,bergelombang,antonim
mendekati,menjauhi,antonim
kuno,bahari,sinonim
bertelanjang,bertutup,antonim
melayankan,hidang,sinonim
berada,berkedudukan,sinonim
pemarah,pemberang,sinonim
keharuan,keterharuan,sinonim
bercerai,berkawin,antonim
bulu,jambak,sinonim
kemampuan,kekuatan,sinonim
menikah,lajang,antonim
mencuat,congol,sinonim
tiket,karcis,sinonim
pemuda,pemudi,antonim
halus,licin,sinonim
kurang,tambah,antonim
menyemaikan,menyuburkan (semangat),sinonim
kekakuan,keluwesan,antonim
merana,tercedera,sinonim
sebagai,semisal,sinonim
perancah,rancah,sinonim
sejadi-jadinya,sehabis-habisnya,sinonim
mengambil,menyimpan,antonim
mentraktir,membayari,sinonim
menidakkan,mengiyakan,antonim
bermain,berlagak,sinonim
boros,menghambur-hamburkan,antonim
palsu,tulen,antonim
layaknya,rupanya,sinonim
aktif,bergerak,sinonim
menggeser,sarut,sinonim
sungguh-sungguh,akal-akalan,antonim
kafir,kafarat,sinonim
bekerja,anggur,antonim
likas,ruing,sinonim
kepuasan,kekecewaan,antonim
ujung,pucuk,antonim
menggembar-gemborkan,melantamkan,sinonim
aksi,gelagat,sinonim
mengagumkan,gilang,sinonim
berlompatan,meretih,sinonim
pesek,bangir,antonim
buka,singkap,sinonim
lega,senggang,sinonim
tarik,tolak,antonim
derivat,kata jadian,sinonim
ampuh,berilmu,sinonim
open,ceroboh,antonim
menghabiskan,basmi,sinonim
berpagut,berdiam diri,sinonim
pembibitan,pengaderan,sinonim
bukit,gundukan tanah,sinonim
merencanakan,merancang,sinonim
pelantikan,pelengseran,antonim
kejelekan,kebagusan,antonim
modern,feodal,antonim
ilegal,legal,antonim
perempuan,laki-laki,antonim
bersemuka,bertatap muka,sinonim
sanggul,konde,sinonim
menenteng,tenteng,sinonim
arogan,besar cakap,sinonim
ekstremis,reaksioner,sinonim
bersekutu,bermusuhan,antonim
umum,khusus,antonim
bandel,degil,sinonim
bersedia,bersiap,sinonim
bertaut,mencantol,sinonim
optimisme,pesimisme,antonim
seimbang,berbanding,sinonim
penerang,pengurai,sinonim
tampak,tenggelam,antonim
memaki,damprat,sinonim
harmonis,disharmonis,antonim
dedengkot,biang (keladi),sinonim
jauh,akrab,antonim
konsisten,paradoksal,antonim
persatuan,perseorangan,antonim
ajaran,kanon,sinonim
kebangkrutan,degenerasi,sinonim
habis,tohor,sinonim
terucapkan,terkatakan,sinonim
compang-camping,cuangcaing,sinonim
militer,sipil,antonim
keadilan,ketakadilan,antonim
memperpanjang,mempersingkat,antonim
sepakat,putus kata,sinonim
kemaluan,alat kelamin,sinonim
abnormalitas,normalitas,antonim
telentang,menelingkup,antonim
menghunjamkan,menghunuskan,antonim
moral,amoral,antonim
menggerus,gerus,sinonim
besar,luas,sinonim
berdamai,bersengketa,antonim
mencairkan,membekukan,antonim
egois,pluralis,antonim
bingung,lenyap daratan,sinonim
rangkaian,rantaian,sinonim
bermufakat,bersyarikat,sinonim
rintangan,anca,sinonim
menderita,sejahtera,antonim
melahap,geramus,sinonim
tega,sampai hati,sinonim
pintar,dungu,antonim
